Centriss|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|100.00%|0.00%
Common value|100|78|89|89|12|100|100|33|55|12|23|34|100|5|55|55|55|55|100|100|45|500|44|26|7|12|3|1|1|1|1
Name|Scrubling|Thistlelint|Whistlereed|Whyren's Wart|Ulthrad's Bloom|Cabbage|Carrot|Whitegrass|Tincap|Deathcap|EagleBlossom|Tympanie|Potato|Elemental Blossom|MindBloom|Thunderblossom|Panchuma|Cinderbloom|Aisob Leaf|Artichoke|Tiger Lily|Wheat|Arrowroot|Seamint|Spiral Rose|Tower Tuft|Pure Diamond Rose|Jet Black Rose|Frond of the Oasis Palm Tree|Powder Orchid|Super Nightshade
Metal|12.00%|16.00%|3.00%|23.00%|0.50%|4.50%|4.50%|15.00%|45.00%|0.50%|0.50%|0.50%|4.50%|1.00%|0.50%|2.00%|0.50%|0.50%|0.50%|5.00%|0.50%|4.50%|0.50%|0.50%|12.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Animal|19.00%|2.00%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|24.00%|0.50%|4.50%|1.00%|0.50%|2.00%|0.50%|0.50%|0.50%|5.00%|89.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|1.00%|1.00%
Body Control|1.00%|2.00%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|15.50%|23.00%|0.50%|0.50%|4.50%|1.00%|45.00%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|6.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Comm and Emp|0.50%|2.00%|0.50%|0.50%|0.50%|4.50%|4.50%|15.00%|0.50%|23.00%|24.00%|0.50%|4.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Earth|5.00%|17.00%|0.50%|23.00%|0.50%|4.50%|4.50%|0.50%|3.00%|0.50%|0.50%|0.50%|4.50%|24.00%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Enchantment|0.50%|0.50%|12.00%|0.50%|14.50%|4.50%|4.50%|0.50%|1.00%|0.50%|0.50%|0.50%|4.50%|1.00%|0.50%|2.00%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Fire|16.00%|17.00%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|24.00%|0.50%|0.50%|0.50%|45.00%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|55.00%|2.00%|2.00%
Food|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|0.50%|0.50%|45.00%|0.50%|13.00%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Healing|13.00%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|0.50%|0.50%|45.00%|45.00%|63.00%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|22.00%|22.00%
Illusion + Creation|7.00%|0.50%|0.50%|0.50%|0.50%|4.50%|4.50%|3.00%|0.50%|0.50%|0.50%|0.50%|4.50%|0.50%|0.50%|2.00%|0.50%|0.50%|0.50%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.01%|0.50%|0.50%|0.50%|0.50%
Knowledge|7.00%|20.00%|0.50%|0.50%|17.00%|4.50%|4.50%|3.00%|9.00%|0.50%|24.00%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|0.50%|3.00%|4.50%|0.50%|4.50%|0.50%|0.50%|0.50%|0.50%|34.00%|0.50%|28.00%|2.00%|2.00%
