Xilewood|11.50%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|25.50%|11.00%|11.00%|11.00%|11.00%|69.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|11.00%|100.00%|100.00%|100.00%|11.00%|100.00%|100.00%
Common value|40|45|44|39|33|29|50|45|77|72|29|29|45|34|45|29|29|29|67|55|23|20|14|16|10|10|10|8|11|100|99
Name|Snapping Hfasi|Spiderswallower|Razorleaf Pad|Feastling Branch|Fever Bloom|Burrowseed|Snapping Bugobu|Thrashing Cap|Blue Palm Branch|Nistvine|Corpse Flower|BlackMoss|Spurned Matron|Siadu Sugarleaf|G'x'tar|Dallyers Detriment|Jabbing Jasmine|Last Pillow|Walking Palm Coconut|JadeFlower|Xarmund's Rest|Bloodsucker Weed|Botfly Snatcher|Bellowing Carunda|Vanilla Orchid|Kiki Dust|Cocoa Dust|Feverbane Leaf|Tissu Tea Leaves|Marrowtree|Niphteal Trunk Ash
Metal|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Animal|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Body Control|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|23.00%|0.50%|19.00%|0.50%|89.50%|89.50%
Comm and Emp|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Earth|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Enchantment|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Fire|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|15.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Food|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|5.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|30.00%|0.50%|0.50%|0.50%|0.50%
Healing|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|5.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|20.00%|45.00%|0.50%|0.50%|0.50%|0.50%
Illusion + Creation|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|24.00%|0.50%|0.50%|0.50%|0.50%|0.50%
Knowledge|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|9.00%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|24.00%|0.50%|0.50%|0.50%|0.50%|0.50%
Light + Dark|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Make + Break|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Meta|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Mind Control|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|15.50%|0.50%|0.50%|0.50%|0.50%
Movement|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Necromantic|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|24.00%|0.50%|0.50%|0.50%
Plant|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|15.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|24.00%|0.50%|0.50%|0.50%
Protection|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|4.00%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|24.00%|0.50%|0.50%|0.50%
Sound|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Water|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|15.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Weather|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|3.00%|0.50%|0.50%|0.50%|0.50%|1.00%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%|0.50%
Price|$0.24 |$0.22 |$0.22 |$0.25 |$0.30 |$0.34 |$0.20 |$0.22 |$0.13 |$0.14 |$0.34 |$0.34 |$0.22 |$0.29 |$0.22 |$0.34 |$0.34 |$0.34 |$0.15 |$0.18 |$0.42 |$0.49 |$0.70 |$0.61 |$0.98 |$0.98 |$0.98 |$1.22 |$0.89 |$0.10 |$0.10 
Culinary|Sweet(-4)|Savory(-6)|Bitter(-5)|Bitter(-5)|Spicy(-7)|Sweet(-8)|Sweet(-6)|Savory(-8)|Sweet(+5)|Sweet(+3)|Savory(-10)|Bitter(-11)|Sour(-5)|Sweet(-8)|Sweet(-5)|Salty(-9)|Sweet(-3)|Base(-5)|Sweet(+3)|Sweet(+1)|Sweet(-3)|Savory(-5)|Savory(-5)|Savory(-6)|Sweet(+3)|Sweet,Hallucinagen (+10)|Sweet(+8)|Savory(-8)|Sweet(-5)|Base(+3)|Base(+3)
Poison|||||||||||||||||||||||||||||||
Defenses|||||||||||||||||||||||||||||||
Chemical|AsAdELVS|SVLAsAdE|(S+3)AdAsVLE|(S+3)AsAdVEL|(-5 All)|SAsAdLVE|(S+5)LVAsAdE|SLVAsAdE|SLVAsAdE|SLVAsAdE|SLVAsAdE|(V+3,Flamm)SAdAsLE|(-5 all)|SLVAsAdE|EAsAdVLS|SLVAsAdE|SLVAsAdE|SLVAsAdE|SLVAsAdE|SLVAsAdE|(+6 All)|SLVAsAdE|SLVAsAdE|SLVAsAdE|SLVAsAdE|(V+3)SAsAdLE|SLVAsAdE|SLVAsAdE|SLVAsAdE||
Symbolic|||||||||||||||||||||||||||||||
Antidote|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
Lubricant(L)|||||||||||||||||||||||||||||||
Adhesive(Ad)|||||||||||||||||||||||||||||||
Electrical(E)|||||||||||||||||||||||||||||||
Astringent(As)|||||||||||||||||||||||||||||||
Structural(S)|||||||||||||||||||||||||||||||
Volatile(V)|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
Sweet(Sw)|||||||||||||||||||||||||||||||
Sour(So)|||||||||||||||||||||||||||||||
Bitter(B)|||||||||||||||||||||||||||||||
Salty(Sa)|||||||||||||||||||||||||||||||
Umami(U)|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
||||Base Price|0.01||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
Metal|15.50%|2%|||||||||||||||||||||||||||||
Animal|15.50%|2%|||||||||||||||||||||||||||||
Body Control|234.50%|27%|||||||||||||||||||||||||||||
Comm and Emp|15.50%|2%|||||||||||||||||||||||||||||
Earth|15.50%|2%|||||||||||||||||||||||||||||
Enchantment|15.50%|2%|||||||||||||||||||||||||||||
Fire|30.00%|3%|||||||||||||||||||||||||||||
Food|49.50%|6%|||||||||||||||||||||||||||||
Healing|84.00%|10%|||||||||||||||||||||||||||||
Illusion + Creation|39.50%|5%|||||||||||||||||||||||||||||
Knowledge|48.00%|6%|||||||||||||||||||||||||||||
Light + Dark|16.00%|2%|||||||||||||||||||||||||||||
Make + Break|16.00%|2%|||||||||||||||||||||||||||||
Meta|16.00%|2%|||||||||||||||||||||||||||||
Mind Control|31.00%|4%|||||||||||||||||||||||||||||
Movement|16.00%|2%|||||||||||||||||||||||||||||
Necromantic|39.50%|5%|||||||||||||||||||||||||||||
Plant|53.50%|6%|||||||||||||||||||||||||||||
Protection|43.00%|5%|||||||||||||||||||||||||||||
Sound|16.00%|2%|||||||||||||||||||||||||||||
Water|30.00%|3%|||||||||||||||||||||||||||||
Weather|19.00%|2%|||||||||||||||||||||||||||||
