Flower Name,Effect 1,Effect 2,Effect 3,Effect 4
Alkanet Flower,"Harvested from Alkanet, a fairly common flower in the West Weald.",,,
,,,,
0003365C, Restore Intelligence, Resist Poison, Light, Damage Fatigue
Aloe Vera Leaves,"Harvested from Aloe Vera, a plant that grows primarily in the Gold Coast.",,,
,,,,
000A7924, Restore Fatigue, Restore Health, Damage Magicka, Invisibility
Ambrosia,"Harvested from reddish-purple colored Mana Bloom, a flower that is normally found only in Mankar Camoran's Paradise.",,,
,,,,
000704A0, Restore Health,,,
Apple,"Food, widely found in houses and dining halls.",,,
,,,,
0003365D, Restore Fatigue, Damage Luck, Fortify Willpower, Damage Health
Arrowroot,"Harvested from Arrowroot Plant, a plant that is found in the Gold Coast and Nibenay Valley.",,,
,,,,
0003365E, Restore Agility, Damage Luck, Fortify Strength, Burden
Beef,"Food, found in a few houses and dining halls.",,,
,,,,
0003365F, Restore Fatigue, Shield, Fortify Agility, Dispel
Bergamot Seeds,"Harvested from Bergamot, a flower, particularly common along the Orange Road and near Bravil.",,,
,,,,
000A7933, Resist Disease, Dispel, Damage Magicka, Silence
Blackberry,"Food, found in many houses and dining halls. It can also be harvested from Blackberry Bushes found on some farms and in the wild in the West Weald.",,,
,,,,
33663, Restore Fatigue, Resist Shock, Fortify Endurance, Restore Magicka
Bloodgrass,"Harvested from Blood Grass, a common plant in the planes of Oblivion.",,,
,,,,
33664, Chameleon, Resist Paralysis, Burden, Fortify Health
Boar Meat,"Food, found in several houses and dining halls. Can also be collected from dead Boars, which are randomly found in many outdoors regions.",,,
,,,,
33665, Restore Health, Damage Speed, Fortify Health, Burden
Bog Beacon Asco Cap,"Harvested from Bog Beacon, a plant found in Blackwood.",,,
,,,,
0008446C, Restore Magicka, Shield, Damage Personality, Damage Endurance
Bonemeal*,"Collected from Bones Undead, i.e., skeletons and liches, which are commonly found in all undead dungeons. There is also a rare variant listed below.",,,
,,,,
0001EBFF, Damage Fatigue, Resist Fire, Fortify Luck, Night-Eye
Bread Loaf,"Food, widely found in houses and dining halls.",,,
,,,,
00023D89, Restore Fatigue, Detect Life, Damage Agility, Damage Strength
Cairn Bolete Cap,"Harvested from Cairn Bolete, a mushroom found in many caves.",,,
,,,,
0006251E, Restore Health, Damage Intelligence, Resist Paralysis, Shock Damage
Carrot,"Food, commonly found in houses and dining halls. Can also be harvested from Carrot Plants, which are found growing on many farms.",,,
,,,,
33666, Restore Fatigue, Night-Eye, Fortify Intelligence, Damage Endurance
Cheese Wedge,"Food, commonly found in houses and dining halls.",,,
,,,,
33668, Restore Fatigue, Resist Fire, Fire Shield, Damage Agility
Cheese Wheel,"Food, less commonly found in houses and dining halls than Cheese Wedges.",,,
,,,,
33669, Restore Fatigue, Resist Paralysis, Damage Luck, Fortify Willpower
Cinnabar Polypore Red Cap,"Harvested from red-colored Cinnabar Polypores, a mushroom that grows sparsely in the West Weald.",,,
,,,,
0008529C, Restore Agility, Shield, Damage Personality, Damage Endurance
Cinnabar Polypore Yellow Cap,"Harvested from yellow-colored Cinnabar Polypores, a mushroom that grows sparsely in the West Weald.",,,
,,,,
0008529B, Restore Endurance, Fortify Endurance, Damage Personality, Reflect Spell
Clannfear Claws,"Collected from dead Clannfears, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
0003366A, Cure Disease, Resist Disease, Paralyze, Damage Health
Clouded Funnel Cap,"Harvested from Clouded Funnel Cap, a mushroom common in mountainous regions (Jerall and Valus Mountains) and Blackwood.",,,
,,,,
84472, Restore Intelligence, Fortify Intelligence, Damage Endurance, Damage Magicka
Columbine Root Pulp,"Harvested from Columbine, a flower that is common in the West Weald.",,,
,,,,
000A7925, Restore Personality, Resist Frost, Fortify Magicka, Chameleon
Corn,"Food, commonly found in houses and dining halls. Can also be harvested from Corn Stalks, which are found growing in many farms.",,,
,,,,
0003366B, Restore Fatigue, Restore Intelligence, Damage Agility, Shock Shield
Crab Meat,"Collected from dead Mud Crabs, a common nuisance creature found along water shores and in many dungeons.",,,
,,,,
0003366C, Restore Endurance, Resist Shock, Damage Fatigue, Fire Shield
Daedra Heart,"Collected from dead Dremora and Xivilai, both of which are common enemies in the Planes of Oblivion.",,,
,,,,
0001EC8F, Restore Health, Shock Shield, Damage Magicka, Silence
Daedra Silk,"Collected from dead Spider Daedra, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
33670, Burden, Night-Eye, Chameleon, Damage Endurance
Daedra Venin,"Collected from dead Spider Daedra, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
33671, Paralyze, Restore Fatigue, Damage Health, Reflect Damage
Daedroth Teeth,"Collected from dead Daedroths, a type of Daedra common in the Planes of Oblivion.",,,
,,,,
33672, Night-Eye, Frost Shield, Burden, Light
Dragon's Tongue,"Harvested from Dragon's Tongue Plants, a flower found in a few clusters south of Bravil and more sparsely throughout the West Weald.",,,
,,,,
25039, Resist Fire, Damage Health, Restore Health, Fire Shield
Dreugh Wax,"Collected from dead Land Dreughs, a type of monster found outdoors and in monster dungeons at high levels.",,,
,,,,
33673, Damage Fatigue, Resist Poison, Water Breathing, Damage Health
Dryad Saddle Polypore Cap,"Harvested from Dryad's Saddel [sic] Polypore, a rare mushroom that only grows in a few select locations.",,,
,,,,
